0,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_inchis,OPSIN_comments
thujyl alcohol,"InChI=1S/C10H18O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-9,11H,4-5H2,1-3H3",10550,"InChI=1/C10H18O/c1-6(2)10-5-8(10)7(3)4-9(10)11/h6-9,11H,4-5H2,1-3H3",
cis-sabinene hydrate,"InChI=1S/C10H18O/c1-7(2)10-5-4-9(3,11)8(10)6-10/h7-8,11H,4-6H2,1-3H3",62367,,cis-sabinene hydrate is unparsable due to the following being uninterpretable: cis-sabinene hydrate The following was not parseable: sabinene hydrate
sabinene hydrate,"InChI=1S/C10H18O/c1-7(2)10-5-4-9(3,11)8(10)6-10/h7-8,11H,4-6H2,1-3H3",62367,,sabinene hydrate is unparsable due to the following being uninterpretable: sabinene hydrate The following was not parseable: sabinene hydrate
trans-sabinene hydrate,"InChI=1S/C10H18O/c1-7(2)10-5-4-9(3,11)8(10)6-10/h7-8,11H,4-6H2,1-3H3/t8?,9-,10+/m0/s1",12315151,,trans-sabinene hydrate is unparsable due to the following being uninterpretable: trans-sabinene hydrate The following was not parseable: sabinene hydrate
cis-piperitol,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9-11H,4-5H2,1-3H3/t9-,10-/m0/s1",85567,,cis-piperitol is unparsable due to the following being uninterpretable: cis-piperitol The following was not parseable: piperitol
iso-menthone,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",6986,,iso-menthone is unparsable due to the following being uninterpretable: iso-menthone The following was not parseable: menthone
isomenthone,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",6986,,isomenthone is unparsable due to the following being uninterpretable: isomenthone The following was not parseable: menthone
menthone,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",6986,,menthone is unparsable due to the following being uninterpretable: menthone The following was not parseable:
isopulegol,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h8-11H,1,4-6H2,2-3H3",24585,,isopulegol is unparsable due to the following being uninterpretable: isopulegol The following was not parseable: pulegol
p-menth-1-en-9-ol,"InChI=1S/C10H18O/c1-8-3-5-10(6-4-8)9(2)7-11/h3,9-11H,4-7H2,1-2H3",86753,"InChI=1/C10H18O/c1-8-3-5-10(6-4-8)9(2)7-11/h3,9-11H,4-7H2,1-2H3",
alpha-terpineol,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3",17100,,alpha-terpineol is unparsable due to the following being uninterpretable: alpha-terpineol The following was not parseable: eol
delta-terpineol,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h9,11H,1,4-7H2,2-3H3",81722,,delta-terpineol is unparsable due to the following being uninterpretable: delta-terpineol The following was not parseable: eol
4-terpineol,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",11230,,4-terpineol is unparsable due to the following being uninterpretable: 4-terpineol The following was not parseable: eol
terpin-4-ol,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",11230,,terpin-4-ol is unparsable due to the following being uninterpretable: terpin-4-ol The following was not parseable: ol
terpinen-4-ol,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",11230,"InChI=1/C30H44O/c1-15-20-10-18(27(20,4)5)11-22(15)30(14-19-12-23(17(30)3)28(19,6)7)25-16(2)21-13-24(26(25)31)29(21,8)9/h18-19,22,24-26,31H,10-14H2,1-9H3",
terpinene-4-ol,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",11230,"InChI=1/C30H44O/c1-15-20-10-18(27(20,4)5)11-22(15)30(14-19-12-23(17(30)3)28(19,6)7)25-16(2)21-13-24(26(25)31)29(21,8)9/h18-19,22,24-26,31H,10-14H2,1-9H3",
trans-rose oxide,"InChI=1S/C10H18O/c1-8(2)6-10-7-9(3)4-5-11-10/h6,9-10H,4-5,7H2,1-3H3/t9-,10+/m1/s1",7093102,,trans-rose oxide is unparsable due to the following being uninterpretable: trans-rose oxide The following was not parseable: ose oxide
gamma-terpineol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h11H,4-7H2,1-3H3",11467,,gamma-terpineol is unparsable due to the following being uninterpretable: gamma-terpineol The following was not parseable: eol
cis-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3",526657,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""cis"" subsequentUnsemanticToken=""-"">cis</stereoChemistry> could refer unambiguously to"
(e)-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3/t9-,10-/m0/s1",122484,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
trans-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3/t9-,10-/m0/s1",122484,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""trans"" subsequentUnsemanticToken=""-"">trans</stereoChemistry> could refer unambiguously to"
(z)-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3/t9-,10+/m0/s1",13918681,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""Z"">z</stereoChemistry> was referring to"
terpinen-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,8,11H,5-7H2,1-3H3",11468,,Atom is in unphysical valency state! Element: C valency: 5
(e)-beta-terpineol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h9,11H,1,4-7H2,2-3H3",8748,,(e)-beta-terpineol is unparsable due to the following being uninterpretable: (e)-beta-terpineol The following was not parseable: eol
cis-beta-terpineol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h9,11H,1,4-7H2,2-3H3",8748,,cis-beta-terpineol is unparsable due to the following being uninterpretable: cis-beta-terpineol The following was not parseable: eol
cis-geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",643820,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""cis"" subsequentUnsemanticToken=""-"">cis</stereoChemistry> could refer unambiguously to"
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",643820,"InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",637566,"InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",
geraniol (e),"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",637566,,geraniol (e) is unparsable due to the following being uninterpretable: (e) The following was not parseable:
citronellal,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",7794,"InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",
trans-pinene hydrate,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,11)8(9)6-7/h7-8,11H,4-6H2,1-3H3/t7-,8+,10-/m0/s1",6428289,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""trans"" subsequentUnsemanticToken=""-"">trans</stereoChemistry> could refer unambiguously to"
alpha-fenchol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3",15406,,alpha-fenchol is unparsable due to the following being uninterpretable: alpha-fenchol The following was not parseable: fenchol
fenchol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3",15406,,fenchol is unparsable due to the following being uninterpretable: fenchol The following was not parseable: fenchol
beta-fenchol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3/t7-,8-,10+/m1/s1",439711,,beta-fenchol is unparsable due to the following being uninterpretable: beta-fenchol The following was not parseable: fenchol
borneol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",64685,"InChI=1/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",
isoborneol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",64685,,isoborneol is unparsable due to the following being uninterpretable: isoborneol The following was not parseable: borneol
eucalyptol,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",2758,,eucalyptol is unparsable due to the following being uninterpretable: eucalyptol The following was not parseable: ucalyptol
linalool oxide (furanoid),"InChI=1S/C10H18O2/c1-5-10(4)7-6-8(12-10)9(2,3)11/h5,8,11H,1,6-7H2,2-4H3",22310,,linalool oxide (furanoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
trans-linalool oxide,"InChI=1S/C10H18O2/c1-5-10(4)7-6-8(12-10)9(2,3)11/h5,8,11H,1,6-7H2,2-4H3/t8-,10+/m0/s1",6432254,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""trans"" subsequentUnsemanticToken=""-"">trans</stereoChemistry> could refer unambiguously to"
trans-linalool oxide (furanoid),"InChI=1S/C10H18O2/c1-5-10(4)7-6-8(12-10)9(2,3)11/h5,8,11H,1,6-7H2,2-4H3/t8-,10+/m0/s1",6432254,,trans-linalool oxide (furanoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
citronellic acid,"InChI=1S/C10H18O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,9H,4,6-7H2,1-3H3,(H,11,12)",10402,"InChI=1/C10H18O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,9H,4,6-7H2,1-3H3,(H,11,12)/f/h11H",
decanal,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3",8175,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3",
9-decenol,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h2,11H,1,3-10H2",25612,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h2,11H,1,3-10H2",
(e)-2-decenol,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",5364942,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",
2-decanone,"InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",12741,"InChI=1/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",
menthol,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",1254,"InChI=1/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",
isomenthol,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9-,10+/m1/s1",45056,,isomenthol is unparsable due to the following being uninterpretable: isomenthol The following was not parseable: menthol
neo-menthol,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9+,10+/m1/s1",439263,,neo-menthol is unparsable due to the following being uninterpretable: neo-menthol The following was not parseable: menthol
citronellol,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",8842,"InChI=1/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",
decanoic acid,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",2969,"InChI=1/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)/f/h11H",
hexyl butyrate,"InChI=1S/C10H20O2/c1-3-5-6-7-9-12-10(11)8-4-2/h3-9H2,1-2H3",17525,"InChI=1/C10H20O2/c1-3-5-6-7-9-12-10(11)8-4-2/h3-9H2,1-2H3",
pentyl 3-methylbutyrate,"InChI=1S/C10H20O2/c1-4-5-6-7-12-10(11)8-9(2)3/h9H,4-8H2,1-3H3",95978,"InChI=1/C10H20O2/c1-4-5-6-7-12-10(11)8-9(2)3/h9H,4-8H2,1-3H3",
3-octyl acetate,"InChI=1S/C10H20O2/c1-4-6-7-8-10(5-2)12-9(3)11/h10H,4-8H2,1-3H3",521238,"InChI=1/C10H20O2/c1-4-6-7-8-10(5-2)12-9(3)11/h10H,4-8H2,1-3H3",
isoamyl isovalerate,"InChI=1S/C10H20O2/c1-8(2)5-6-12-10(11)7-9(3)4/h8-9H,5-7H2,1-4H3",12613,"InChI=1/C10H20O2/c1-8(2)5-6-12-10(11)7-9(3)4/h8-9H,5-7H2,1-4H3",
decane,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",15600,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",
decanol,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",8174,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",
azulene,InChI=1S/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H,9231,InChI=1/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H,
naphthalene,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,931,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,
(z)-cinnamyl acetate,"InChI=1S/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5-",5315912,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5-",
(e)-cinnamyl acetate,"InChI=1S/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5+",5282110,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5+",
trans-ethyl cinnamate,"InChI=1S/C11H12O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8+",637758,"InChI=1/C11H12O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8+",
myristicin,"InChI=1S/C11H12O3/c1-3-4-8-5-9(12-2)11-10(6-8)13-7-14-11/h3,5-6H,1,4,7H2,2H3",4276,,myristicin is unparsable due to the following being uninterpretable: in The following was not parseable: in
2-phenylethylpropionate,"InChI=1S/C11H14O2/c1-2-11(12)13-9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3",31225,"InChI=1/C11H14O2/c1-2-11(12)13-9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3",
butyl benzoate,"InChI=1S/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3",8698,"InChI=1/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3",
benzyl butyrate,"InChI=1S/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",7650,"InChI=1/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",
(z)-methyl isoeugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3/b5-4-",1549045,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4-",
(e)-methyl isoeugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3/b5-4+",637776,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4+",
methyl eugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3",7127,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4,6-7,12H,1,5H2,2-3H3",
cis-jasmone,"InChI=1S/C11H16O/c1-3-4-5-6-10-9(2)7-8-11(10)12/h4-5H,3,6-8H2,1-2H3/b5-4-",1549018,,cis-jasmone is unparsable due to the following being uninterpretable: cis-jasmone The following was not parseable: jasmone
methyl carvacrol,"InChI=1S/C11H16O/c1-8(2)10-6-5-9(3)11(7-10)12-4/h5-8H,1-4H3",80790,"InChI=1/C11H16O/c1-7(2)10-6-5-8(3)11(12)9(10)4/h5-7,12H,1-4H3",
thymol methyl ether,"InChI=1S/C11H16O/c1-8(2)10-6-5-9(3)7-11(10)12-4/h5-8H,1-4H3",14104,"InChI=1/C11H16O/c1-8(2)10-6-5-9(3)7-11(10)12-4/h5-8H,1-4H3",
neryl formate,"InChI=1S/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7-",5354882,"InChI=1/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7-",
geranyl formate,"InChI=1S/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7+",5282109,"InChI=1/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7+",
bornyl formate,"InChI=1S/C11H18O2/c1-10(2)8-4-5-11(10,3)9(6-8)13-7-12/h7-9H,4-6H2,1-3H3",518472,"InChI=1/C11H18O2/c1-10(2)8-4-5-11(10,3)9(6-8)13-7-12/h7-9H,4-6H2,1-3H3",
isobornyl formate,"InChI=1S/C11H18O2/c1-10(2)8-4-5-11(10,3)9(6-8)13-7-12/h7-9H,4-6H2,1-3H3",518472,,isobornyl formate is unparsable due to the following being uninterpretable: isobornyl formate The following was not parseable: bornyl formate
isobornyl formate,"InChI=1S/C11H18O2/c1-10(2)8-4-5-11(10,3)9(6-8)13-7-12/h7-9H,4-6H2,1-3H3/t8-,9-,11+/m1/s1",23623868,,isobornyl formate is unparsable due to the following being uninterpretable: isobornyl formate The following was not parseable: bornyl formate
alpha-terpinyl formate,"InChI=1S/C11H18O2/c1-9-4-6-10(7-5-9)11(2,3)13-8-12/h4,8,10H,5-7H2,1-3H3",16537,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
methyl geranate,"InChI=1S/C11H18O2/c1-9(2)6-5-7-10(3)8-11(12)13-4/h6,8H,5,7H2,1-4H3/b10-8+",5365910,"InChI=1/C11H18O2/c1-9(2)6-5-7-10(3)8-11(12)13-4/h6,8H,5,7H2,1-4H3/b10-8+",
hexyl tiglate,"InChI=1S/C11H20O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5H,4,6-9H2,1-3H3/b10-5+",637523,"InChI=1/C11H20O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5H,4,6-9H2,1-3H3/b10-5+",
1-undecene,"InChI=1S/C11H22/c1-3-5-7-9-11-10-8-6-4-2/h3H,1,4-11H2,2H3",13190,"InChI=1/C11H22/c1-3-5-7-9-11-10-8-6-4-2/h3H,1,4-11H2,2H3",
undecanal,"InChI=1S/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3",8186,"InChI=1/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3",
2-undecanone,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",8163,"InChI=1/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",
undecanone,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",8163,"InChI=1/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",
hexyl valerate,"InChI=1S/C11H22O2/c1-3-5-7-8-10-13-11(12)9-6-4-2/h3-10H2,1-2H3",70694,"InChI=1/C11H22O2/c1-3-5-7-8-10-13-11(12)9-6-4-2/h3-10H2,1-2H3",
3-methylbutyl hexanoate,"InChI=1S/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3",16617,"InChI=1/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3",
isoamyl hexanoate,"InChI=1S/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3",16617,"InChI=1/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3",
hexyl isovalerate,"InChI=1S/C11H22O2/c1-4-5-6-7-8-13-11(12)9-10(2)3/h10H,4-9H2,1-3H3",61455,"InChI=1/C11H22O2/c1-4-5-6-7-8-13-11(12)9-10(2)3/h10H,4-9H2,1-3H3",
n-undecane,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",14257,"InChI=1/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",
undecane,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",14257,"InChI=1/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",
undecanol,"InChI=1S/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3",8184,"InChI=1/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3",
(z)-ligustilide,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",5319022,,(z)-ligustilide is unparsable due to the following being uninterpretable: (z)-ligustilide The following was not parseable: igustilide
(e)-ligustilide,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8+",5877292,,(e)-ligustilide is unparsable due to the following being uninterpretable: (e)-ligustilide The following was not parseable: igustilide
dill apiole,"InChI=1S/C12H14O4/c1-4-5-8-6-9-11(16-7-15-9)12(14-3)10(8)13-2/h4,6H,1,5,7H2,2-3H3",10231,,dill apiole is unparsable due to the following being uninterpretable: dill apiole The following was not parseable: ll apiole
dillapiole,"InChI=1S/C12H14O4/c1-4-5-8-6-9-11(16-7-15-9)12(14-3)10(8)13-2/h4,6H,1,5,7H2,2-3H3",10231,,dillapiole is unparsable due to the following being uninterpretable: dillapiole The following was not parseable: llapiole
apiole,"InChI=1S/C12H14O4/c1-4-5-8-6-9(13-2)11-12(10(8)14-3)16-7-15-11/h4,6H,1,5,7H2,2-3H3",10659,,apiole is unparsable due to the following being uninterpretable: apiole The following was not parseable: le
benzyl isovalerate,"InChI=1S/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",7651,"InChI=1/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",
senkyunolide,"InChI=1S/C12H16O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7,11H,2-4,6,8H2,1H3/t11-/m0/s1",3085257,,senkyunolide is unparsable due to the following being uninterpretable: senkyunolide The following was not parseable: senkyunolide
thymol acetate,"InChI=1S/C12H16O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h5-8H,1-4H3",68252,"InChI=1/C12H16O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h5-8H,1-4H3",
thymyl acetate,"InChI=1S/C12H16O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h5-8H,1-4H3",68252,"InChI=1/C12H16O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h5-8H,1-4H3",
elemicin,"InChI=1S/C12H16O3/c1-5-6-9-7-10(13-2)12(15-4)11(8-9)14-3/h5,7-8H,1,6H2,2-4H3",10248,"InChI=1/C12H16O3/c1-5-6-9-7-10(13-2)12(15-4)11(8-9)14-3/h5,7-8H,1,6H2,2-4H3",
geijerene,"InChI=1S/C12H18/c1-5-12(4)9-7-6-8-11(12)10(2)3/h5-6,8,11H,1-2,7,9H2,3-4H3",12310053,,geijerene is unparsable due to the following being uninterpretable: geijerene The following was not parseable: geijerene
cnidilide,"InChI=1S/C12H18O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7,9-11H,2-4,6,8H2,1H3/t9-,10+,11-/m0/s1",160710,,cnidilide is unparsable due to the following being uninterpretable: cnidilide The following was not parseable: cnidilide
trans-verbenyl acetate,"InChI=1S/C12H18O2/c1-7-5-11(14-8(2)13)10-6-9(7)12(10,3)4/h5,9-11H,6H2,1-4H3",118088,,trans-verbenyl acetate is unparsable due to the following being uninterpretable: trans-verbenyl acetate The following was not parseable: verbenyl acetate
cis-verbenyl acetate,"InChI=1S/C12H18O2/c1-7-5-11(14-8(2)13)10-6-9(7)12(10,3)4/h5,9-11H,6H2,1-4H3/t9-,10+,11+/m0/s1",6427494,,cis-verbenyl acetate is unparsable due to the following being uninterpretable: cis-verbenyl acetate The following was not parseable: verbenyl acetate
trans-chrysanthenyl acetate,"InChI=1S/C12H18O2/c1-7-5-6-9-11(14-8(2)13)10(7)12(9,3)4/h5,9-11H,6H2,1-4H3",162747,,trans-chrysanthenyl acetate is unparsable due to the following being uninterpretable: trans-chrysanthenyl acetate The following was not parseable: anthenyl acetate
trans-sabinyl acetate,"InChI=1S/C12H18O2/c1-7(2)12-5-10(12)8(3)11(6-12)14-9(4)13/h7,10-11H,3,5-6H2,1-2,4H3/t10?,11-,12+/m0/s1",6430313,,trans-sabinyl acetate is unparsable due to the following being uninterpretable: trans-sabinyl acetate The following was not parseable: sabinyl acetate
myrtenyl acetate,"InChI=1S/C12H18O2/c1-8(13)14-7-9-4-5-10-6-11(9)12(10,2)3/h4,10-11H,5-7H2,1-3H3",61262,,myrtenyl acetate is unparsable due to the following being uninterpretable: myrtenyl acetate The following was not parseable: myrtenyl acetate
