"","clean_name","original_name","Compound_identifier","cid"
"375","(E,E)-4-octadienal","(e,e)-4-octadienal","C1064",NA
"376","(E,E)-aalpha-farnesene","(e,e)-aalpha-farnesene","C1065",NA
"377","(E,E)-alloocimene","(e,e)-alloocimene","C1066",NA
"378","(E,E)-alpha-farnesene","(e, e)-alpha-farnesene","C1048",NA
"379","(E,E)-alpha-farnesene","(e,""e)-alpha-farnesene","C1049",NA
"380","(E,E)-alpha-farnesene","(e,e)-alpha-farnesene","C47",NA
"381","(E,E)-alpha-farnesene + beta-bisabolene","(e,e)-alpha-farnesene + beta-bisabolene","C1067",NA
"382","(E,E)-alpha-farnesene f","(e,e)-alpha-farnesene f","C1068",NA
"383","(E,E)-alpha-farnesol","(e,e)-alpha-farnesol","C1069",NA
"384","(E,E)-alpha-ionone","(e,e)-alpha-ionone","C1070",NA
"385","(E,E)-beta-farnesene","(e,e)-beta-farnesene","C1071",NA
"386","(E,E)-beta-ionone","(e,e)-beta-ionone","C1072",NA
"387","(E,E)-decadienal","(e,e)-decadienal","C1073",NA
"388","(E,E)-delta-ocimene","(e,e)-delta-ocimene","C1074",NA
"389","(E,E)-dodecadienal","(e,e)-dodecadienal","C1075",NA
"390","(E,E)-e-farnesol","(e,e)-e-farnesol","C1076",NA
"391","(E,E)-farnesal","(e,e)-farnesal","C1077",NA
"392","(E,E)-farnesene","(e,e)-farnesene","C48",NA
"393","(E,E)-farnesol","(e,Â e)-farnesol","C1051",NA
"394","(E,E)-farnesol","(e,e)-farnesol","C49",NA
"395","(E,E)-farnesol dimethyl for acetophenone","(e,e)-farnesol dimethyl for acetophenone","C1078",NA
"396","(E,E)-farnesyl acetate","(e,e)-farnesyl acetate","C1079",NA
"397","(E,E)-farnesyl acetone","(e,e)-farnesyl acetone","C1080",NA
"398","(E,E)-farnesyl acetone f","(e,e)-farnesyl acetone f","C1081",NA
"399","(E,E)-geranyl linalool","(e,e)-geranyl linalool","C1082",NA
"400","(E,E)-germacrone","(e,e)-germacrone","C1083",NA
"401","(E,E)-methyl-10,11-epoxyfarnesoate","(e,e)-methyl-10,11-epoxyfarnesoate","C1084",NA
"402","(E,E)-methyl-farnesoate","(e,e)-methyl-farnesoate","C1085",NA
"403","(E,E)-ocimene","(e,e)-ocimene","C1086",NA
"404","(E,E)-pseudoionone","(e, e) – pseudoionone","C1050",NA
"405","(E,E)-pseudoionone","(e,e)-pseudoionone","C1087",NA
"406","(E,Z)-2-4-decadienal","(e,z)-2-4-decadienal","C1088",NA
"407","(E,Z)-2,3-nonadienal","(e,z)-2,3-nonadienal","C1089",NA
"408","(E,Z)-2,4-decadienal","(e,z)-2,4-decadienal","C50",NA
"409","(E,Z)-2,4-decadienal +2-nonenyl acetate","(e,z)-2,4-decadienal +2-nonenyl acetate","C1090",NA
"410","(E,Z)-2,4-heptadienai","(e,z)-2,4-heptadienai","C1091",NA
"411","(E,Z)-2,4-heptadienal","(e,z)-2,4-heptadienal","C1092",NA
"412","(E,Z)-2,4-hexadienal","(e,z)-2,4-hexadienal","C51",NA
"413","(E,Z)-2,6-decadienal","(e,z)-2,6-decadienal","C1093",NA
"414","(E,Z)-2,6-nonadienal","(e,z)-2,6-nonadienal","C1094",NA
"415","(E,Z)-2,6-nonadienol","(e,z)-2,6-nonadienol","C1095",NA
"416","(E,Z)-2,8nonadienal","(e,z)-2,8nonadienal","C1096",NA
"417","(E,Z)-3-5-octadien-2-one","(e,z)-3-5-octadien-2-one","C1097",NA
"418","(E,Z)-3,6-nonadienol","(e,z)-3,6-nonadienol","C1098",NA
"419","(E,Z)-allo-ocimene","(e,z)-allo-ocimene","C1099",NA
"420","(E,Z)-alpha-farnesene","(e,z)-alpha-farnesene","C1100",NA
"421","(E,Z)-decadienal","(e,z)-decadienal","C1101",NA
"422","(E,Z)-farnesal","(e,z)-farnesal","C1102",NA
"423","(E,Z)-farnesol","(e,z)-farnesol","C1103",NA
"424","(E,Z)-hecadecenal","(e,z)-hecadecenal","C1104",NA
"425","(E,Z)-hexenal","(e,z)-hexenal","C1105",NA
"426","(E,Z)-matricaria ester+alpha-muurolene","(e,z)-matricaria ester+alpha-muurolene","C1106",NA
"427","(E,Z)-nonadienal","(e,z)-nonadienal","C1107",NA
"428","(E,Z)-undeca-1,3,5-triene","(e,z)-undeca-1,3,5-triene","C1108",NA
"429","(o+p)-cymene","(o+p)-cymene","C1109",NA
"430","(z-)-gamma-bisabolene","(z-)-gamma-bisabolene","C1110",NA
"431","(Z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol","(z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol","C1111",NA
"432","(Z)-1-(2',4',5'-trimethoxy phenyl)-butadiene","(z)-1-(2',4',5'-trimethoxy phenyl)-butadiene","C1112",NA
"433","(Z)-1-(3',4'-dimethoxyphenyl)-butadiene","(z)-1-(3',4'-dimethoxyphenyl)-butadiene","C1113",NA
"434","(Z)-1-propenyl-2,3,4,5-tetramethoxybenzene","(z)-1-propenyl-2,3,4,5-tetramethoxybenzene","C1114",NA
"435","(Z)-1-propenyl methyl trisulfide","(z)-1-propenyl methyl trisulfide","C1115",NA
"436","(Z)-1-propenyl propyl pentasulfide","(z)-1-propenyl propyl pentasulfide","C1116",NA
"437","(Z)-1-propenyl propyl tetrasulfide","(z)-1-propenyl propyl tetrasulfide","C1117",NA
"438","(Z)-1-propenyl propyl trisulfide","(z)-1-propenyl propyl trisulfide","C1118",5352694
"439","(Z)-1-propenyl sec-butyl disulfide","(z)-1-propenyl sec-butyl disulfide","C1119",11636857
"440","(Z)-1-prpenyl propyl tetrasulfide","(z)-1-prpenyl propyl tetrasulfide","C1120",NA
"441","(Z)-1,1-diethoxyhex-2-ene","(z)-1,1-diethoxyhex-2-ene","C1121",NA
"442","(Z)-14-Hydroxy-caryophyllene","(Z)-14-Hydroxy-caryophyllene","C1122",NA
"443","(Z)-2-decanal","(z)-2-decanal","C1123",NA
"444","(Z)-2-decenal","(z)-2-decenal","C1124",5354834
"445","(Z)-2-decenol","(z)-2-decenol","C1125",NA
"446","(Z)-2-dodecene","(z)-2-dodecene","C1126",5364558
"447","(Z)-2-eicosene","(z)-2-eicosene","C1127",NA
"448","(Z)-2-ethylhexyl-methoxycinnamate","(z)-2-ethylhexyl-methoxycinnamate","C1128",NA
"449","(Z)-2-hepten-4-one","(z)-2-hepten-4-one","C1129",NA
"450","(Z)-2-heptenal","(z)-2-heptenal","C1130",5362616
"451","(Z)-2-heptenylacetate","(z)-2-heptenylacetate","C52",NA
"452","(Z)-2-hexenal","(z)-2-hexenal","C1131",6428782
"453","(Z)-2-hexenol","(z)-2-hexenol","C1132",5324489
"454","(Z)-2-hexenylbenzoate","(z)-2-hexenylbenzoate","C1133",NA
"455","(Z)-2-hexenylisovalerate","(z)-2-hexenylisovalerate","C1134",NA
"456","(Z)-2-methyl-3-octen-5-yne","(z)-2-methyl-3-octen-5-yne","C1135",NA
"457","(Z)-2-methylbutyrate","(z)-2-methylbutyrate","C1136",NA
"458","(Z)-2-nonan-4-one","(z)-2-nonan-4-one","C1137",NA
"459","(Z)-2-nonenal","(z)-2-nonenal","C1138",5354833
"460","(Z)-2-octenal","(z)-2-octenal","C1139",6427080
"461","(Z)-2-p-menthen-1-ol","(z)-2-p-menthen-1-ol","C1140",NA
"462","(Z)-2-pentenol","(z)-2-pentenol","C1141",5364919
"463","(Z)-2-pentenylacetate","(z)-2-pentenylacetate","C1142",NA
"464","(Z)-2-propenal","(z)-2-propenal","C1143",NA
"465","(Z)-2-undecene","(z)-2-undecene","C1144",5362715
"466","(Z)-3-butylidenephthalide","(z)-3-butylidenephthalide","C1145",642376
"467","(Z)-3-cambrene a","(z)-3-cambrene a","C1146",NA
"468","(Z)-3-dodecenoic acid","(z)-3-dodecenoic acid","C1147",11966238
"469","(Z)-3-ethyl-1,5-octadiene","(z)-3-ethyl-1,5-octadiene","C1148",NA
"470","(Z)-3-heptenoic acid","(z)-3-heptenoic acid","C1149",NA
"471","(Z)-3-hexadecane","(z)-3-hexadecane","C1150",NA
"472","(Z)-3-hexanal","(z)-3-hexanal","C1151",643941
"473","(Z)-3-hexanol","(z)-3-hexanol","C1152",NA
"474","(Z)-3-hexanyl acetate","(z)-3-hexanyl acetate","C1153",NA
"475","(Z)-3-hexanyl benzoate","(z)-3-hexanyl benzoate","C1154",NA
"476","(Z)-3-hexen-1-ol","(z)-3-hexen-1-ol","C1155",5281167
"477","(Z)-3-hexenal","(z)-3-hexenal","C53",643941
"478","(Z)-3-hexene-1-ol","(z)-3-hexene-1-ol","C1156",NA
"479","(Z)-3-hexenoic acid","(z)-3-hexenoic acid","C1157",5355152
"480","(Z)-3-hexenol","(z)-3-hexenol","C54",5281167
"481","(Z)-3-hexenyl-2-methylbutyrate","(z)-3-hexenyl-2-methylbutyrate","C1158",NA
"482","(Z)-3-hexenyl-3-methylbutyrate","(z)-3-hexenyl-3-methylbutyrate","C1159",NA
"483","(Z)-3-hexenyl 2-butenoate","(z)-3-hexenyl 2-butenoate","C1160",NA
"484","(Z)-3-hexenyl 2-methylbutanoate","(z)-3-hexenyl 2-methylbutanoate","C1161",NA
"485","(Z)-3-hexenyl acetate","(z)-3-hexenyl acetate","C1162",5363388
"486","(Z)-3-hexenyl angelate","(z)-3-hexenyl angelate","C1163",16220109
"487","(Z)-3-hexenyl angelate+methyl naphthalene","(z)-3-hexenyl angelate+methyl naphthalene","C1164",NA
"488","(Z)-3-hexenyl benzoate","(z)-3-hexenyl benzoate","C55",5367706
"489","(Z)-3-hexenyl butanoate","(z)-3-hexenyl butanoate","C1165",5352438
"490","(Z)-3-hexenyl butyrate","(z)-3-hexenyl butyrate","C1166",5352438
"491","(Z)-3-hexenyl hexanoate","(z)-3-hexenyl hexanoate","C56",5352543
"492","(Z)-3-hexenyl isobutanoate","(z)-3-hexenyl isobutanoate","C1167",NA
"493","(Z)-3-hexenyl isobutyrate","(z)-3-hexenyl isobutyrate","C1168",5352539
"494","(Z)-3-hexenyl isocalerate","(z)-3-hexenyl isocalerate","C1169",NA
"495","(Z)-3-hexenyl isovalerate","(z)-3-hexenyl isovalerate","C1170",5367681
"496","(Z)-3-hexenyl isovalerate","(z)-3-hexenyl isovalerate","C1170",5367681
"497","(Z)-3-hexenyl isovalerate","(z)-3-hexenylÂ isovalerate","C1176",5367681
"498","(Z)-3-hexenyl isovalerate","(z)-3-hexenylÂ isovalerate","C1176",5367681
"499","(Z)-3-hexenyl isovalreate","(z)-3-hexenyl isovalreate","C1171",NA
"500","(Z)-3-hexenyl octanoate","(z)-3-hexenyl octanoate","C1172",5352267
"501","(Z)-3-hexenyl phenylacetate","(z)-3-hexenyl phenylacetate","C1173",5367698
"502","(Z)-3-hexenyl propanoate","(z)-3-hexenyl propanoate","C1174",5365049
"503","(Z)-3-hexenyl tiglate","(z)-3-hexenyl tiglate","C57",NA
"504","(Z)-3-hexenyl valerate","(z)-3-hexenyl valerate","C1175",5367682
"505","(Z)-3-hexyl butyrate","(z)-3-hexyl butyrate","C1177",NA
"506","(Z)-3-nonenol","(z)-3-nonenol","C1178",5364631
"507","(Z)-3-octenoic acid","(z)-3-octenoic acid","C1179",5282715
"508","(Z)-3-octenol","(z)-3-octenol","C1180",NA
"509","(Z)-3-tridecane","(z)-3-tridecane","C1181",NA
"510","(Z)-3,5-nonadiyne-7-ene","(z)-3,5-nonadiyne-7-ene","C1182",NA
"511","(Z)-3,7-dimethyl-2,7-octadien-1,6-diol","(z)-3,7-dimethyl-2,7-octadien-1,6-diol","C1183",NA
"512","(Z)-4-decanal","(z)-4-decanal","C1184",NA
"513","(Z)-4-decenal","(z)-4-decenal","C1185",5362620
"514","(Z)-4-decenol","(z)-4-decenol","C1186",5362798
"515","(Z)-4-heptenal","(z)-4-heptenal","C1187",5362814
"516","(Z)-4-heptenoic acid","(z)-4-heptenoic acid","C1188",5312595
"517","(Z)-4-heptenol","(z)-4-heptenol","C1189",NA
"518","(Z)-4-octenol","(z)-4-octenol","C1190",NA
"519","(Z)-4-octenyl-2-methylbutyrate","(z)-4-octenyl-2-methylbutyrate","C1191",NA
"520","(Z)-4-octenyl 2-methyl butyrate","(z)-4-octenyl 2-methyl butyrate","C1192",NA
"521","(Z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate","(z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate","C1193",NA
"522","(Z)-4-octenyl acetate","(z)-4-octenyl acetate","C1194",5352819
"523","(Z)-4-octenyl butyrate","(z)-4-octenyl butyrate","C1195",5352820
"524","(Z)-4-octenyl hexanoate","(z)-4-octenyl hexanoate","C1196",NA
"525","(Z)-4-octenyl isobutyrate","(z)-4-octenyl isobutyrate","C1197",NA
"526","(Z)-4-octenyl pentanoate","(z)-4-octenyl pentanoate","C1198",NA
"527","(Z)-5-decenyl acetate","(z)-5-decenyl acetate","C1199",5363513
"528","(Z)-5-heptenoic acid","(z)-5-heptenoic acid","C1200",NA
"529","(Z)-5-nonadecene","(z)-5-nonadecene","C1201",NA
"530","(Z)-5-octenoic acid","(z)-5-octenoic acid","C1202",5282718
"531","(Z)-6-decenylacetate","(z)-6-decenylacetate","C1203",NA
"532","(Z)-6-dodecen-g-lactone","(z)-6-dodecen-g-lactone","C1204",NA
"533","(Z)-6-methyl-3,5-heptadien-2-one","(z)-6-methyl-3,5-heptadien-2-one","C1205",NA
"534","(Z)-6-octadecenoic acid","(z)-6-octadecenoic acid","C1206",5281125
"535","(Z)-6-pentadecen-2-one","(z)-6-pentadecen-2-one","C1207",56936219
"536","(Z)-6,10-dimethyl-5-9-undecadien-2-one","(z)-6,10-dimethyl-5-9-undecadien-2-one","C1208",NA
"537","(Z)-7-dodecenol","(z)-7-dodecenol","C1209",5362794
"538","(Z)-9-hexadecenoic acid","(z)-9-hexadecenoic acid","C58",445638
"539","(Z)-9-hexadecenol","(z)-9-hexadecenol","C1210",5367661
"540","(Z)-9-methyloctadecanoate","(z)-9-methyloctadecanoate","C1211",NA
"541","(Z)-9-octadecenamide","(z)-9-octadecenamide","C1212",5283387
"542","(Z)-9-octadecenoic acid","(z)-9-octadecenoic acid","C1213",NA
"543","(Z)-9-tetradecenal","(z)-9-tetradecenal","C1214",5364471
"544","(Z)-9-tricosane","(z)-9-tricosane","C1215",NA
"545","(Z)-abienol","(z)-abienol","C1216",643723
"546","(Z)-alpha-atlantone","(z)-alpha-atlantone","C1217",NA
"547","(Z)-alpha-bergamotene","(z)-alpha-bergamotene","C1218",NA
"548","(Z)-alpha-bisabolene","(z)-alpha-bisabolene","C59",5352653
"549","(Z)-alpha-bisabolene oxide","(z)-alpha-bisabolene oxide","C1219",NA
"550","(Z)-alpha-cadinol","(z)-alpha-cadinol","C1220",NA
"551","(Z)-alpha-ionone","(z)-alpha-ionone","C1221",NA
"552","(Z)-alpha-ocimene","(z)-alpha-ocimene","C1222",5463455
"553","(Z)-alpha-santalol","(z)-alpha-santalol","C60",11085337
"554","(Z)-alpha-trans-bergamatol","(z)-alpha-trans-bergamatol","C1223",NA
"555","(Z)-alpha-trans-bergamotal acetate","(z)-alpha-trans-bergamotal acetate","C1224",NA
"556","(Z)-alpha-trans-bergamotene","(z)-alpha-trans-bergamotene","C1225",NA
"557","(Z)-alpha-trans-bergamotol","(z)-alpha-trans-bergamotol","C61",NA
"558","(Z)-alpha-trans-bergamotol acetate","(z)-alpha-trans-bergamotol acetate","C1226",NA
"559","(Z)-anethole","(z)-anethole","C62",1549040
"560","(Z)-asarone","(z)-asarone","C1227",5281758
"561","(Z)-b-ocimene","(z)-b-ocimene","C1228",NA
"562","(Z)-beta-bisabolene","(z)-beta-bisabolene","C1231",NA
"563","(Z)-beta-caryophyllene","(z)-beta-caryophyllene","C1232",NA
"564","(Z)-beta-curcumen-12-ol","(z)-beta-curcumen-12-ol","C1233",NA
"565","(Z)-beta-damascenone","(z)-beta-damascenone","C1234",12309006
"566","(Z)-beta-damascone","(z)-beta-damascone","C1235",NA
"567","(Z)-beta-famesene","(z)-beta-famesene","C1236",NA
"568","(Z)-beta-farnesene","(z)-beta-farnesene","C63",NA
"569","(Z)-beta-guaiene","(z)-beta-guaiene","C1237",NA
"570","(Z)-beta-ionone","(z)-beta-ionone","C1238",12224082
"571","(Z)-beta-ocimene","(z)-beta- ocimene","C1229",5320250
"572","(Z)-beta-ocimene","(z)-beta- ocimene","C1229",5320250
"573","(Z)-beta-ocimene","(z)-beta- ocimene","C1229",5320250
"574","(Z)-beta-ocimene","(z)-beta -ocimene","C1247",5320250
"575","(Z)-beta-ocimene","(z)-beta -ocimene","C1247",5320250
"576","(Z)-beta-ocimene","(z)-beta -ocimene","C1247",5320250
"577","(Z)-beta-ocimene","(z)-beta-ocimene","C64",5320250
"578","(Z)-beta-ocimene","(z)-beta-ocimene","C64",5320250
"579","(Z)-beta-ocimene","(z)-beta-ocimene","C64",5320250
"580","(Z)-beta-ocimene (m)","(z)-beta-ocimene (m)","C1239",NA
"581","(Z)-beta-ocimene epoxide","(z)-beta-ocimene epoxide","C1240",NA
"582","(Z)-beta-ocimene+gamma-terpinene","(z)-beta-ocimene+gamma-terpinene","C1241",NA
"583","(Z)-beta-santalene","(z)-beta-santalene","C1242",NA
"584","(Z)-beta-santalol","(z)-beta-santalol","C1243",11031396
"585","(Z)-beta-santalol acetate","(z)-beta-santalol acetate","C1244",NA
"586","(Z)-beta-santalyl acetate","(z)-beta-santalyl acetate","C1245",NA
"587","(Z)-beta-terpineol","(z)-beta- terpineol","C1230",8748
"588","(Z)-beta-terpineol","(z)-beta- terpineol","C1230",8748
"589","(Z)-beta-terpineol","(z)-beta-terpineol","C1246",8748
"590","(Z)-beta-terpineol","(z)-beta-terpineol","C1246",8748
"591","(Z)-butylidene phthalide","(z)-butylidene phthalide","C1248",NA
"592","(Z)-cadina-1,4-diene","(z)-cadina-1,4-diene","C1249",NA
"593","(Z)-calacorene","(z)-calacorene","C1250",91753138
"594","(Z)-calamenene","(z)-calamenene","C1251",6429077
"595","(Z)-cariophylene","(z)-cariophylene","C1252",NA
"596","(Z)-carveol","(z)-carveol","C1253",330573
"597","(Z)-carvyl acetate","(z)-carvylÂ acetate","C1254",NA
"598","(Z)-caryophyllene","(z)-caryophyllene","C1255",6429301
"599","(Z)-caryophyllene oxide","(z)-caryophyllene oxide","C1256",NA
"600","(Z)-chrysanthenyl acetate","(z)-chrysanthenyl acetate","C65",NA
"601","(Z)-cinnamaldehyde","(z)-cinnamaldehyde","C1257",6428995
"602","(Z)-cinnamyl acetate","(z)-cinnamyl acetate","C66",5315912
"603","(Z)-cinnamyl alcohol","(z)-cinnamyl alcohol","C1258",5280511
"604","(Z)-cinnamyl tiglate","(z)-cinnamyl tiglate","C1259",NA
"605","(Z)-citral","(z)-citral","C1260",643779
"606","(Z)-dehydro-apofarnesol","(z)-dehydro-apofarnesol","C1261",NA
"607","(Z)-dihydrocarvone","(z)-dihydrocarvone","C1262",443167
"608","(Z)-dimethoxy citral","(z)-dimethoxy citral","C1263",NA
"609","(Z)-epoxy-ocimene","(z)-epoxy-ocimene","C67",NA
"610","(Z)-epoxy ocimene","(z)-epoxy ocimene","C1264",NA
"611","(Z)-ethyl-3-hexenoate","(z)-ethyl-3-hexenoate","C1265",NA
"612","(Z)-ethyl cinnamate","(z)-ethyl cinnamate","C1266",5284656
"613","(Z)-falcarinol","(z)-falcarinol","C1267",NA
"614","(Z)-Farnesol","(Z)-Farnesol","C1268",1549108
"615","(Z)-gamma-atlantone","(z)-gamma-atlantone","C1269",NA
"616","(Z)-gamma-bisabolene","(z)-gamma-bisabolene","C68",3033866
"617","(Z)-gamma-curcumen-12-ol","(z)-gamma-curcumen-12-ol","C1270",NA
"618","(Z)-hex-2-en-1-ol","(z)-hex-2-en-1-ol","C1271",5324489
"619","(Z)-hex-3-en-1-ol","(z)-hex-3-en-1-ol","C1272",5281167
"620","(Z)-hexenol","(z)-hexenol","C1273",NA
"621","(Z)-hexenyl benzoate","(z)-hexenyl benzoate","C1274",NA
"622","(Z)-hydroxy-sesquicineole","(z)-hydroxy-sesquicineole","C1275",NA
"623","(Z)-isoapiole+dillapiole","(z)-isoapiole+dillapiole","C1276",NA
"624","(Z)-isocitral","(z)-isocitral","C1277",NA
"625","(Z)-isoelemicin","(z)-isoelemicin","C1278",NA
"626","(Z)-isoeugenol","(z)-isoeugenol","C1279",1549041
"627","(Z)-isoeugenyl acetate","(z)-isoeugenyl acetate","C1280",NA
"628","(Z)-isogeranic acid","(z)-isogeranic acid","C1281",NA
"629","(Z)-isomyristicin","(z)-isomyristicin","C1282",91748544
"630","(Z)-isosafrole","(z)-isosafrole","C69",NA
"631","(Z)-jasmone","(z)-jasmone","C1283",1549018
"632","(Z)-lachnophyllum ester","(z)-lachnophyllum ester","C1284",642290
"633","(Z)-lanceol","(z)-lanceol","C1285",15560069
"634","(Z)-lanceol acetate","(z)-lanceol acetate","C1286",NA
"635","(Z)-ligustilide","(z)-ligustilide","C70",5319022
"636","(Z)-ligustillide + mint sulfide","(z)-ligustillide + mint sulfide","C1287",NA
"637","(Z)-limonene oxide","(z)-limoneneÂ oxide","C1288",NA
"638","(Z)-linalool oxide","(z)-linalool oxide","C1289",NA
"639","(Z)-linalool oxide","(z)-linaloolÂ oxide","C1292",NA
"640","(Z)-linalool oxide (furanoid)","(z)-linalool oxide (furanoid)","C1290",22310
"641","(Z)-linalool oxide (pyranoid)","(z)-linalool oxide (pyranoid)","C1291",NA
"642","(Z)-methyl cinnamate","(z)-methyl cinnamate","C1293",6428458
"643","(Z)-methyl dihydrojasmonate","(z)-methyl dihydrojasmonate","C1294",NA
"644","(Z)-methyl isoeugenol","(z)-methyl isoeugenol","C71",1549045
"645","(Z)-methyl jasmonate","(z)-methyl jasmonate","C1295",6430765
"646","(Z)-methylisoeugenol","(z)-methylisoeugenol","C1296",NA
"647","(Z)-myroxide","(z)-myroxide","C72",14701631
"648","(Z)-nerolidol","(z)-nerolidol","C73",5356544
"649","(Z)-nerolidol + germacrene b","(z)-nerolidol + germacrene b","C1297",NA
"650","(Z)-nerolidol acetate","(z)-nerolidol acetate","C1298",NA
"651","(Z)-nuciferal","(z)-nuciferal","C74",6429179
"652","(Z)-nuciferol","(z)-nuciferol","C75",NA
"653","(Z)-ocimene","(z)-ocimene","C1299",5320250
"654","(Z)-ocimenone","(z)-ocimenone","C1300",NA
"655","(Z)-octadec-9-enal","(z)-octadec-9-enal","C1301",5364492
"656","(Z)-oleic acid","(z)-oleic acid","C1302",NA
"657","(Z)-p-farnesene","(z)-p-farnesene","C1303",NA
"658","(Z)-p-menth-2-en-1-ol","(z)-p-menth-2-en-1-ol","C76",13918681
"659","(Z)-p-mentha-1,5-dien-8-ol","(Z)-p-mentha-1,5-dien-8-ol","C1304",NA
"660","(Z)-p-ocimene","(z)-p-ocimene","C77",NA
"661","(Z)-palmitoleic acid","(z)-palmitoleic acid","C1305",445638
"662","(Z)-Para-menth-2-en-1-ol","(Z)-Para-menth-2-en-1-ol","C1306",NA
"663","(Z)-phytol","(z)-phytol","C1307",6430833
"664","(Z)-sabinene hydrate","(z)-sabinene hydrate","C1308",62367
"665","(Z)-sabinene hydrate","(z)-sabinene hydrate","C1308",62367
"666","(Z)-sabinene hydrate","(z)-sabineneÂ hydrate","C1309",62367
"667","(Z)-sabinene hydrate","(z)-sabineneÂ hydrate","C1309",62367
"668","(Z)-sabinol","(z)-sabinol","C1310",NA
"669","(Z)-salvene","(z)-salvene","C1311",6429323
"670","(Z)-sesquilavandulol","(z)-sesquilavandulol","C1312",5352147
"671","(Z)-Sesquisabinene hydrate","(Z)-Sesquisabinene hydrate","C1313",NA
"672","(Z)-tagetenone","(z)-tagetenone","C78",6428432
"673","(Z)-tagetone","(z)-tagetone","C79",5368956
"674","(Z)-theaspiran","(z)-theaspiran","C1314",NA
"675","(Z)-thujone","(z)-thujone","C1315",12304612
"676","(Z)-thujopsene","(z)-thujopsene","C1316",97829
"677","(Z)-trans-alpha-bergamotol","(z)-trans-alpha-bergamotol","C80",NA
"678","(Z)-trimenal","(z)-trimenal","C1317",NA
"679","(Z)-Verbenol","(Z)-Verbenol","C81",NA
"680","(Z)-zasmone","(z)-zasmone","C1318",NA
"681","(Z)—9-octadecen-1-ol","(z)â€”9-octadecen-1-ol","C1321",NA
"682","(Z) beta-ocimene","(z) beta-ocimene","C1319",NA
"683","(Z) hex-3-enylacetate","(z) hex-3-enylacetate","C1320",NA
"684","(Z,E)-2,4-undecadiene","(z,e)-2,4-undecadiene","C1323",NA
"685","(Z,E)-2,6-farnesol","(z,e)-2,6-farnesol","C1324",NA
"686","(Z,E)-2,6-farnesyl acetate","(z,e)-2,6-farnesyl acetate","C1325",NA
"687","(Z,E)-allo-ocimene","(z,e)-allo-ocimene","C1326",NA
"688","(Z,E)-alpha-farnesene","(z,e)-alpha-farnesene","C82",NA
"689","(Z,E)-farnesal","(z,e)-farnesal","C1327",NA
"690","(Z,E)-farnesol","(z,Â e)-farnesol","C1322",NA
"691","(Z,E)-farnesol","(z,e)-farnesol","C1328",NA
